SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,WORMS_NAME,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
COF,Codium fragile,Dead Man's Fingers,COF,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Codium fragile,145086,Species,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,.,.
COF,Codium fragile,Dead Man's Fingers,COF,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Codium fragile,145086,Species,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,.,.
CP,Colpomenia peregrina,.,CP,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Colpomenia peregrina,145856,Species,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,.,.
CP,Colpomenia peregrina,.,CP,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Colpomenia peregrina,145856,Species,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Colpomenia,.,.
CO,Corallina officinalis,Pink Feather Coralline,CO,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Corallina officinalis,145108,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina,officinalis
CO,Corallina officinalis,Pink Feather Coralline,CO,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Corallina officinalis,145108,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina,officinalis
EC,crustose coralline algae spp.,Encrusting Coralline,EC,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Corallinales,15308,Order,Plantae,Rhodophyta,Florideophyceae,Corallinales,.,.,.,.
CY,Corynactis californica,Club-Tipped Anemone,CY,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Corynactis californica,283836,Species,Animalia,Cnidaria,Anthozoa,Corallimorpharia,Corallimorphidae,Corynactis,.,.
COTT,Unidentified Cottidae,Unidentified Sculpin Spp,COTT,.,1,25,FISH,CRYPTIC FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Cottidae,125589,Family,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,.,.,.
CRGI,Crassadoma gigantea,Rock Scallop,CRGI,.,2,25,INVERT,SWATH,PLANKTIVORE,HARD,SESSILE,SOLITARY,Crassadoma gigantea,240774,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,Hinnites,giganteus
CRGI,Crassadoma gigantea,Rock Scallop,CRGI,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Crassadoma gigantea,240774,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,Hinnites,giganteus
CROC,Crisia occidentalis,White Tuft Bryozoans,CROC,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Crisia occidentalis,111700,Species,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae,Crisia,.,.
CRYP,Cryptopleura spp.,.,CRYP,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Cryptopleura,143882,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,.,.
