SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,WORMS_NAME,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
GYSP,Gymnogongrus spp.,.,GYSP,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Gymnogongrus,144168,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,.,.
GYMO,Gymnothorax mordax,California Moray,GYMO,.,30,60,FISH,FISH,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Gymnothorax mordax,271856,Species,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,.,.
XCAL,Haemulon californiensis,Salema,XCAL,.,5,20,FISH,FISH,MESOCARNIVORE,SOFT,MOBILE,SOLITARY,Haemulon californiensis,1020317,Species,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,.,.
HADE,Halcampa decemtentaculata,Ten-Tentacle Burrowing Anemone,HADE,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Halcampa decemtentaculata,283565,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Halcampidae,Halcampa,.,.
HSEM,Halichoeres semicinctus,Rock Wrasse,HSEM,.,3,40,FISH,FISH,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Halichoeres semicinctus,275798,Species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,.,.
HACO,Haliotis corrugata,Pink Abalone,HACO,.,5,22,INVERT,SWATH,GRAZER,HARD,MOBILE,SOLITARY,Haliotis corrugata,445308,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,.,.
HACR,Haliotis cracherodii,Black Abalone,HACR,.,5,20,INVERT,SWATH,GRAZER,HARD,MOBILE,SOLITARY,Haliotis cracherodii,405012,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,.,.
HAKA,Haliotis kamtschatkana,Threaded Abalone,HAKA,.,.,.,INVERT,SWATH,GRAZER,HARD,MOBILE,SOLITARY,Haliotis kamtschatkana,405014,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis,kamtschatkana
HARU,Haliotis rufescens,Red Abalone,HARU,.,5,28,INVERT,SWATH,GRAZER,HARD,MOBILE,SOLITARY,Haliotis rufescens,445357,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,.,.
HAGL,Halosaccion glandiforme,Sea Nipples,HAGL,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Halosaccion glandiforme,372579,Species,Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Halosaccion,.,.
HEFR,Heterodontus francisci,Horn Shark,HEFR,.,35,70,FISH,FISH,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Heterodontus francisci,276694,Species,Animalia,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,.,.
HPAC,Heteropora pacifica,Northern Staghorn Bryozoan,HPAC,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Heteropora pacifica,718279,Species,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Heteroporidae,Heteropora,.,.
HROS,Heterostichus rostratus,Giant Kelpfish,HROS,juvenile,.,.,FISH,CRYPTIC FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Heterostichus rostratus,281075,Species,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,.,.
HROS,Heterostichus rostratus,Giant Kelpfish,HROS,.,3,36,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Heterostichus rostratus,281075,Species,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,.,.
HDEC,Hexagrammos decagrammus,Kelp Greenling,HDEC,.,9,45,FISH,FISH,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Hexagrammos decagrammus,240732,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,.,.
HEGR,Hexanchus griseus,Sixgill Shark,HEGR,.,100,300,FISH,FISH,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Hexanchus griseus,105833,Species,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,.,.
HART,Hiatella arctica,.,HART,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Hiatella arctica,140103,Species,Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,.,.
UIH,Ectopleura crocea; Eudendrium californicum; Schuchertinia milleri,Unidentified hydroid,UIH,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Anthoathecata,13551,Order,Animalia,Cnidaria,Hydrozoa,Anthoathecata,.,.,.,.
HARG,Hyperprosopon argenteum,Walleye Surfperch,HARG,.,7,25,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Hyperprosopon argenteum,281098,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,.,.
HCAR,Hypsurus caryi,Rainbow Surfperch,HCAR,.,3,35,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Hypsurus caryi,240717,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hypsurus,.,.
HRUB,Hypsypops rubicundus,Garibaldi,HRUB,.,3,42,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Hypsypops rubicundus,281130,Species,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Hypsypops,.,.
IR,Mazzaella spp. ,.,IR,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Mazzaella,369878,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Mazzaella,Iridaea,.
MT,Jellyella tuberculata,Kelp Bryozoan,MT,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Jellyella tuberculata,396730,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Jellyella,Membranipora, tuberculata
KEKE,Kelletia kelletii,Kellet's Welk,KEKE,.,2.5,23,INVERT,SWATH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Kelletia kelletii,491054,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Kelletia,.,.
SKE,Kelletia kelletii,Kellet's Welk,KEKE,.,0.3,2.5,INVERT,QUAD,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Kelletia kelletii,491054,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Kelletia,.,.
LAFA,Laminaria farlowii,Oar Weed,LAFA,(adult >15cm bld width),.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Laminaria farlowii,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LAFA,Laminaria farlowii,Oar Weed,LAFA,(adult >15cm bld width),15,250,ALGAE,SWATH,PRODUCER,HARD,SESSILE,SOLITARY,Laminaria farlowii,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LFJ,Laminaria farlowii,.,LAFA,juvenile (<15cm bld width),.,.,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Laminaria farlowii,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LH,Laminaria farlowii,.,LH,holdfast,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Laminaria farlowii,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LS,Laurencia spp.,.,LS,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,AGGREGATED,Laurencia,143914,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,.,.
LS,Laurencia spp.,.,LS,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Laurencia,143914,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,.,.
LHIR,Leiocottus hirundo,Lavender Sculpin,LHIR,.,3,35,FISH,CRYPTIC FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Leiocottus hirundo,281282,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leiocottus,.,.
LOCH,Leptogorgia chilensis,Red Gorgonian,LOCH,.,3,61,INVERT,SWATH,PLANKTIVORE,HARD,SESSILE,SOLITARY,Leptogorgia chilensis,286222,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Leptogorgia,Lophogorgia,chilensis
LOCH,Leptogorgia chilensis,Red Gorgonian,LOCH,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Leptogorgia chilensis,286222,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Leptogorgia,Lophogorgia,chilensis
BLD,Unidentifiable juvenile kelp ,Unidentifiable juvenile kelp - not a unique species,BLD,juvenile (<3cm height),0.5,3,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Lessoniaceae,196198,Family,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,.,.,.
BLD,Unidentifiable juvenile kelp ,Unidentifiable juvenile kelp - not a unique species,BLD,juvenile (<3cm height),.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Lessoniaceae,196198,Family,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,.,.,.
LNUT,Leucilla nuttingi,Urn Sponge,LNUT,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Leucilla nuttingi,164219,Species,Animalia,Porifera,Calcarea,Leucosolenida,Amphoriscidae,Leucilla,.,.
LINU,Lissothuria nutriens,Scarlet Sea Cucumber,LINU,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Lissothuria nutriens,529527,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Lissothuria,.,.
LIGL,Pomaulax gibberosus; Megastraea undosa,Wavey Turbin Snail,LIGL,adult (>9 cm),9,20,INVERT,SWATH,GRAZER,HARD,MOBILE,SOLITARY,Turbininae,225151,Subfamily,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,.,Lithopoma,gibberosa
LIGS,Pomaulax gibberosus; Megastraea undosa,Wavey Turbin Snail,LIGL,juvenile (<9 cm),1,8.9,INVERT,QUAD,GRAZER,HARD,MOBILE,SOLITARY,Turbininae,225151,Subfamily,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,.,Lithopoma,gibberosa
LIUL,Megastraea undosa,Smooth Turbin Snail,LIUL,adult (>9 cm),.,.,INVERT,SWATH,GRAZER,HARD,MOBILE,SOLITARY,Megastraea undosa,528084,Species,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Megastraea,Lithopoma,undosum
LIUS,Megastraea undosa,Smooth Turbin Snail,LIUL,juvenile (<9 cm),.,.,INVERT,QUAD,GRAZER,HARD,MOBILE,SOLITARY,Megastraea undosa,528084,Species,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Megastraea,Lithopoma,undosum
LI,Lithothrix aspergillum,Stone Hair,LI,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Lithothrix aspergillum,372598,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Lithophyllaceae,Lithothrix,.,.
LOGR,Loxorhynchus grandis,Sheep Crab,LOGR,.,6,40,INVERT,SWATH,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Loxorhynchus grandis,441602,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,.,.
LA,Lytechinus pictus,White Sea Urchin,LA,.,1,6,INVERT,QUAD,GRAZER,HARD,MOBILE,SOLITARY,Lytechinus pictus,513378,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,.,.
LDAL,Lythrypnus dalli,Bluebanded Goby,LDAL,.,2,12,FISH,CRYPTIC FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Lythrypnus dalli,281457,Species,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Lythrypnus,.,.
DMH,Macrocystis pyrifera,Dead Macrocystis Holdfast,DMH,dead holdfast,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
DMH,Macrocystis pyrifera,Dead Macrocystis Holdfast,DMH,dead holdfast,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MAPY,Macrocystis pyrifera,Giant Kelp,MAPY,adult,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MAPY,Macrocystis pyrifera,Giant Kelp,MAPY,adult,.,.,ALGAE,KELP,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MH,Macrocystis pyrifera,Giant Kelp Holdfast,MAPY,holdfast,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MH,Macrocystis pyrifera,Giant Kelp Holdfast,MAPY,holdfast,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ,Macrocystis pyrifera,Kelp,MAPY,juvenile (<1m height),.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ,Macrocystis pyrifera,Kelp,MAPY,juvenile (<1m height),3,99,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ33,Macrocystis pyrifera,Kelp,MAPY,juvenile (0-33cm height),.,.,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ66,Macrocystis pyrifera,Kelp,MAPY,juvenile (33.1-66 cm height),.,.,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ99,Macrocystis pyrifera,Kelp,MAPY,juvenile (66.1-99 cm height),.,.,ALGAE,QUAD,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPS,Macrocystis pyrifera,Giant Kelp subadult,MAPY,stipe,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPS,Macrocystis pyrifera,Giant Kelp subadult,MAPY,stipe,.,.,ALGAE,KELP,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPS,Macrocystis pyrifera,Giant Kelp subadult,MAPY,subadult,.,.,ALGAE,SWATH,PRODUCER,HARD,SESSILE,SOLITARY,Macrocystis pyrifera,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MCAL,Medialuna californiensis,Halfmoon,MCAL,.,11,45,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Medialuna californiensis,281541,Species,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Medialuna,.,.
MEAE,Mediaster,.,MEAE,.,.,.,INVERT,SWATH,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Mediaster,123298,Genus,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,.,.
BA,Balanomorpha spp.,Barnacles,BA,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Balanomorpha,106039,Suborder,Animalia,Arthropoda,Hexanauplia,Sessilia,.,.,Megabalanus,californicus
MECR,Megathura crenulata,Giant Key Hole Limpet,MECR,.,4,25,INVERT,SWATH,GRAZER,HARD,MOBILE,SOLITARY,Megathura crenulata,527885,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,.,.
SFL,Mesocentrotus franciscanus,Red Urchin,SFL,adult (>=2.5cm),2.5,15,INVERT,QUAD,GRAZER,HARD,MOBILE,SOLITARY,Mesocentrotus franciscanus,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
SFL,Mesocentrotus franciscanus,Red Urchin,SFL,adult (>=2.5cm),2.5,15,INVERT,URCHINS,GRAZER,HARD,MOBILE,SOLITARY,Mesocentrotus franciscanus,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
SFS,Mesocentrotus franciscanus,Red Urchin,SFL,juvenile (<2.5cm),1,2.49,INVERT,QUAD,GRAZER,HARD,MOBILE,SOLITARY,Mesocentrotus franciscanus,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
SFS,Mesocentrotus franciscanus,Red Urchin,SFL,juvenile (<2.5cm),1,2.49,INVERT,URCHINS,GRAZER,HARD,MOBILE,SOLITARY,Mesocentrotus franciscanus,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
MISE,Metridium dianthus,Clonal Plumose Anemone,MISE,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Metridium dianthus,158251,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,.,.
MIID,Atrimitra idae,Ida's Mitre,MIID,.,0.25,7,INVERT,QUAD,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Atrimitra idae,1074819,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitridae,Atrimitra,Mitra,idea
MUCA,Muricea californica,California Golden Gorgonian,MUCA,adult (> 5cm),2,67,INVERT,SWATH,PLANKTIVORE,HARD,SESSILE,SOLITARY,Muricea californica,287556,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUCA,Muricea californica,California Golden Gorgonian,MUCA,any size,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Muricea californica,287556,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUCAJ,Muricea californica,California Golden Gorgonian,MUCA,juvenile (<5cm),1,4.9,INVERT,QUAD,PLANKTIVORE,HARD,SESSILE,SOLITARY,Muricea californica,287556,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUFR,Muricea fruticosa,Brown Gorgonian,MUFR,.,3,60,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Muricea fruticosa,287562,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUFR,Muricea fruticosa,Brown Gorgonian,MUFR,.,3,60,INVERT,SWATH,PLANKTIVORE,HARD,SESSILE,SOLITARY,Muricea fruticosa,287562,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
BRAY,Myliobatis californica,Bat Ray,BRAY,.,30,180,FISH,FISH,MESOCARNIVORE,SOFT,MOBILE,SOLITARY,Myliobatis californica,271485,Species,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,.,.
MC,Mytilus californianus,California Mussel,MC,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Mytilus californianus,367837,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,.,.
CYSP,Neobernaya spadicea,Chestnut Cowry,CYSP,.,2,8,INVERT,QUAD,GRAZER,HARD,MOBILE,SOLITARY,Neobernaya spadicea,580674,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Neobernaya,Cypraea,spadicea 
NBLA,Neoclinus blanchardi,Sarcastic Fringehead,NBLA,.,3,20,FISH,CRYPTIC FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Neoclinus blanchardi,281679,Species,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,.,.
NA,Nienburgia andersoniana,.,NA,.,.,.,ALGAE,DETRITUS,PRODUCER,HARD,SESSILE,AGGREGATED,Nienburgia andersoniana,372617,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nienburgia,.,.
NA,Nienburgia andersoniana,.,NA,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Nienburgia andersoniana,372617,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nienburgia,.,.
NOCE,Notorynchus cepedianus,Broadnose sevengill shark,NOCE,.,150,300,FISH,FISH,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Notorynchus cepedianus,217628,Species,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Notorynchus,,
NONO,Norrisia norrisii,Norris's Topsnail,NONO,.,1,7,INVERT,QUAD,GRAZER,HARD,MOBILE,SOLITARY,Norrisia norrisii,534181,Species,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Norrisia,.,.
OBSP,Obelia spp.,Wine-Glass Hydroid,OBSP,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,AGGREGATED,Obelia,117034,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,.,.
OCTO,Octopus spp. ,.,OCTO,.,.,.,INVERT,QUAD,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Octopus,138268,Genus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,.,.
OCTO,Octopus spp. ,.,OCTO,.,4,52,INVERT,SWATH,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Octopus,138268,Genus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,.,.
OELO,Ophiodon elongatus,Lingcod,OELO,.,20,80,FISH,FISH,MACROCARNIVORE,HARD,MOBILE,SOLITARY,Ophiodon elongatus,240745,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,.,.
OPES,Ophioplocus esmarki,Smooth Brittle Star,OPES,.,1,6,INVERT,QUAD,PLANKTIVORE,HARD,MOBILE,SOLITARY,Ophioplocus esmarki,243980,Species,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Hemieuryalidae,Ophioplocus,.,.
OPES,Ophioplocus esmarki,Smooth Brittle Star,OPES,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,MOBILE,SOLITARY,Ophioplocus esmarki,243980,Species,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Hemieuryalidae,Ophioplocus,.,.
OPSP,Ophiothrix spiculata,Spiny Brittle Star,OPSP,.,0.25,6,INVERT,QUAD,PLANKTIVORE,HARD,MOBILE,SOLITARY,Ophiothrix spiculata,245237,Species,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,.,.
OKL,Orthasterias koehleri,Rainbow Star,OKL,adult (>=2.5cm),2.5,25,INVERT,SWATH,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Orthasterias koehleri,255048,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,.,.
OKS,Orthasterias koehleri,Rainbow Star,OKL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Orthasterias koehleri,255048,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,.,.
LX,Osmundea spectabilis,.,LX,.,.,.,ALGAE,UPC,PRODUCER,HARD,SESSILE,AGGREGATED,Osmundea spectabilis,372624,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,Laurencia,spectabilis
OCAL,Oxyjulis californica,Senorita,OCAL,.,2,30,FISH,FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Oxyjulis californica,240727,Species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,.,.
OPIC,Oxylebius pictus,Painted Greenling,OPIC,.,1,20,FISH,CRYPTIC FISH,MICROCARNIVORE,HARD,MOBILE,SOLITARY,Oxylebius pictus,240743,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,.,.
PAFI,Pachycerianthus fimbriatus,Tube Dwelling Anemone,PAFI,.,1,5,INVERT,QUAD,PLANKTIVORE,SOFT,SESSILE,SOLITARY,Pachycerianthus fimbriatus,283820,Species,Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Pachycerianthus,.,.
PAFI,Pachycerianthus fimbriatus,Tube Dwelling Anemone,PAFI,.,.,.,INVERT,UPC,PLANKTIVORE,SOFT,SESSILE,SOLITARY,Pachycerianthus fimbriatus,283820,Species,Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Pachycerianthus,.,.
PRUB,Pachythyone rubra,.,PRUB,.,0.5,43,INVERT,QUAD,PLANKTIVORE,HARD,SESSILE,SOLITARY,Pachythyone rubra,529582,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,.,.
PRUB,Pachythyone rubra,.,PRUB,.,.,.,INVERT,UPC,PLANKTIVORE,HARD,SESSILE,SOLITARY,Pachythyone rubra,529582,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,.,.
PAIN,Panulirus interruptus,California Spiny Lobster,PAIN,.,2.5,15,INVERT,SWATH,MESOCARNIVORE,HARD,MOBILE,SOLITARY,Panulirus interruptus,382898,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,.,.
