site,date_GMT,Mean_Hs_m,Max_Hs_m,latitude,longitude,datetime,month,year
ABUR,2000-03-03,0.39,0.52,34.400275,-119.7445915,2000-03-03,3,2000
ABUR,2000-03-04,0.54,0.6,34.400275,-119.7445915,2000-03-04,3,2000
ABUR,2000-03-05,0.41,0.47,34.400275,-119.7445915,2000-03-05,3,2000
ABUR,2000-03-06,0.47,0.53,34.400275,-119.7445915,2000-03-06,3,2000
ABUR,2000-03-07,0.42,0.5,34.400275,-119.7445915,2000-03-07,3,2000
ABUR,2000-03-08,0.26,0.32,34.400275,-119.7445915,2000-03-08,3,2000
ABUR,2000-03-09,0.32,0.41,34.400275,-119.7445915,2000-03-09,3,2000
ABUR,2000-03-10,0.43,0.62,34.400275,-119.7445915,2000-03-10,3,2000
ABUR,2000-03-11,0.31,0.36,34.400275,-119.7445915,2000-03-11,3,2000
ABUR,2000-03-12,0.42,0.48,34.400275,-119.7445915,2000-03-12,3,2000
ABUR,2000-03-13,0.34,0.47,34.400275,-119.7445915,2000-03-13,3,2000
ABUR,2000-03-14,0.2,0.23,34.400275,-119.7445915,2000-03-14,3,2000
ABUR,2000-03-15,0.19,0.25,34.400275,-119.7445915,2000-03-15,3,2000
ABUR,2000-03-16,0.27,0.29,34.400275,-119.7445915,2000-03-16,3,2000
ABUR,2000-03-17,0.34,0.43,34.400275,-119.7445915,2000-03-17,3,2000
ABUR,2000-03-18,0.48,0.54,34.400275,-119.7445915,2000-03-18,3,2000
ABUR,2000-03-19,0.47,0.54,34.400275,-119.7445915,2000-03-19,3,2000
ABUR,2000-03-20,0.43,0.54,34.400275,-119.7445915,2000-03-20,3,2000
ABUR,2000-03-21,0.38,0.43,34.400275,-119.7445915,2000-03-21,3,2000
ABUR,2000-03-22,0.28,0.33,34.400275,-119.7445915,2000-03-22,3,2000
ABUR,2000-03-23,0.34,0.4,34.400275,-119.7445915,2000-03-23,3,2000
ABUR,2000-03-24,0.35,0.4,34.400275,-119.7445915,2000-03-24,3,2000
ABUR,2000-03-25,0.32,0.37,34.400275,-119.7445915,2000-03-25,3,2000
ABUR,2000-03-26,0.34,0.38,34.400275,-119.7445915,2000-03-26,3,2000
ABUR,2000-03-27,0.31,0.38,34.400275,-119.7445915,2000-03-27,3,2000
ABUR,2000-03-28,0.38,0.47,34.400275,-119.7445915,2000-03-28,3,2000
ABUR,2000-03-29,0.49,0.62,34.400275,-119.7445915,2000-03-29,3,2000
