SITE,WINTER_MEAN_HS_M,WINTER_MAX_HS_M,LAT,LONG,YEAR
AQUE,0.711043956,2.21,34.46774988,-120.11905,2010
BULL,0.636263736,2.17,34.45850533,-120.33349,2010
CARP,0.742142857,2.69,34.3916319,-119.5416933,2010
GOLB,0.53478022,1.88,34.4137165,-119.8221,2010
IVEE,0.72010989,2.24,34.402783,-119.85755,2010
MOHK,0.788241758,2.45,34.3940708,-119.72957,2010
NAPL,0.905824176,2.72,34.4221216,-119.95154,2010
ABUR,0.603351648,1.54,34.400275,-119.7445915,2011
AHND,0.554175824,1.91,34.471817,-120.1426165,2011
AQUE,0.616153846,1.95,34.46774988,-120.11905,2011
BULL,0.581648352,1.91,34.45850533,-120.33349,2011
CARP,0.59956044,1.53,34.3916319,-119.5416933,2011
GOLB,0.427362637,1.36,34.4137165,-119.8221,2011
IVEE,0.590824176,1.49,34.402783,-119.85755,2011
MOHK,0.644450549,1.61,34.3940708,-119.72957,2011
NAPL,0.738516484,1.88,34.4221216,-119.95154,2011
ABUR,0.638415301,1.76,34.400275,-119.7445915,2012
AHND,0.517650273,1.42,34.471817,-120.1426165,2012
AQUE,0.589016393,1.64,34.46774988,-120.11905,2012
BULL,0.534808743,1.38,34.45850533,-120.33349,2012
CARP,0.628142077,1.58,34.3916319,-119.5416933,2012
GOLB,0.436010929,1.12,34.4137165,-119.8221,2012
IVEE,0.615300546,1.61,34.402783,-119.85755,2012
MOHK,0.676994536,1.88,34.3940708,-119.72957,2012
NAPL,0.774754098,2.02,34.4221216,-119.95154,2012
ABUR,0.601263736,1.56,34.400275,-119.7445915,2013
AHND,0.510824176,1.24,34.471817,-120.1426165,2013
AQUE,0.575879121,1.45,34.46774988,-120.11905,2013
BULL,0.535769231,1.19,34.45850533,-120.33349,2013
CARP,0.602032967,0.59,34.3916319,-119.5416933,2013
GOLB,0.424505495,1.02,34.4137165,-119.8221,2013
IVEE,0.58967033,1.28,34.402783,-119.85755,2013
MOHK,0.64,1.55,34.3940708,-119.72957,2013
NAPL,0.738021978,1.62,34.4221216,-119.95154,2013
ABUR,0.570659341,2.51,34.400275,-119.7445915,2014
AHND,0.476043956,2.24,34.471817,-120.1426165,2014
AQUE,0.540714286,2.62,34.46774988,-120.11905,2014
BULL,0.485604396,0.88,34.45850533,-120.33349,2014
CARP,0.577637363,3.32,34.3916319,-119.5416933,2014
GOLB,0.40489011,2.33,34.4137165,-119.8221,2014
IVEE,0.557527473,2.53,34.402783,-119.85755,2014
MOHK,0.603131868,2.51,34.3940708,-119.72957,2014
NAPL,0.694120879,2.95,34.4221216,-119.95154,2014
ABUR,0.587802198,2.22,34.400275,-119.7445915,2015
AHND,0.513186813,1.92,34.471817,-120.1426165,2015
AQUE,0.58032967,2.24,34.46774988,-120.11905,2015
BULL,0.529065934,1.97,34.45850533,-120.33349,2015
CARP,0.593681319,2.52,34.3916319,-119.5416933,2015
GOLB,0.418021978,1.9,34.4137165,-119.8221,2015
IVEE,0.565054945,2.21,34.402783,-119.85755,2015
MOHK,0.616208791,2.19,34.3940708,-119.72957,2015
NAPL,0.716373626,2.66,34.4221216,-119.95154,2015
ABUR,0.774480874,1.81,34.400275,-119.7445915,2016
AHND,0.646229508,1.54,34.471817,-120.1426165,2016
AQUE,0.738415301,1.84,34.46774988,-120.11905,2016
BULL,0.665245902,1.74,34.45850533,-120.33349,2016
CARP,0.79431694,3.05,34.3916319,-119.5416933,2016
GOLB,0.567814208,2.07,34.4137165,-119.8221,2016
IVEE,0.756666667,2.11,34.402783,-119.85755,2016
